slug,source,side,winner,entry_seconds_left,entry_ask,entry_price,primary_cost_with_fee,protected,hedge_seconds_left,hedge_ask,hedge_price,total_cost_with_protection,pnl_without_protection,pnl_with_protection
btc-updown-5m-1783991400,btc_updown_5m_7d.jsonl,DOWN,DOWN,42,0.63,0.63,3.231585,False,,,,3.231585,1.768415,1.768415
btc-updown-5m-1784027700,btc_updown_5m_7d.jsonl,DOWN,UP,95,0.68,0.68,3.476160,True,14,0.97,0.97,6.883300000000000000000000000,-3.476160,-3.378145360824742268041237113
btc-updown-5m-1784040900,btc_updown_5m_7d.jsonl,UP,UP,98,0.61,0.61,3.133265,False,,,,3.133265,1.866735,1.866735
btc-updown-5m-1784299500,late_favorite_paper_8h_20260717_222535.snapshots.jsonl,DOWN,DOWN,70,0.69,0.69,3.524865,False,,,,3.524865,1.475135,1.475135
btc-updown-5m-1784311200,late_favorite_paper_8h_20260717_222535.snapshots.jsonl,UP,DOWN,68,0.66,0.66,3.378540,True,37,0.81,0.81,6.722430000000000000000000000,-3.378540,-2.648355925925925925925925926
btc-updown-5m-1784314800,late_favorite_paper_8h_20260717_222535.snapshots.jsonl,UP,DOWN,29,0.61,0.61,3.133265,True,12,0.99,0.99,6.185400000000000000000000000,-3.133265,-3.104591919191919191919191919
btc-updown-5m-1784320200,late_favorite_paper_8h_20260717_222535.snapshots.jsonl,DOWN,DOWN,46,0.65,0.65,3.329625,False,,,,3.329625,1.670375,1.670375
btc-updown-5m-1784324700,late_favorite_paper_8h_20260717_222535.snapshots.jsonl,DOWN,UP,60,0.68,0.68,3.476160,False,,,,3.476160,-3.476160,-3.476160
btc-updown-5m-1784336700,maker_momentum_paper_8h_20260718_084602.snapshots.jsonl,UP,UP,57,0.62,0.62,3.182460,False,,,,3.182460,1.817540,1.817540
btc-updown-5m-1784339700,maker_momentum_paper_8h_20260718_084602.snapshots.jsonl,DOWN,DOWN,71,0.61,0.61,3.133265,False,,,,3.133265,1.866735,1.866735
btc-updown-5m-1784341500,maker_momentum_paper_8h_20260718_084602.snapshots.jsonl,UP,UP,56,0.6,0.6,3.0840,False,,,,3.0840,1.9160,1.9160
btc-updown-5m-1784345700,maker_momentum_v2_paper_8h_20260718_105718.snapshots.jsonl,DOWN,DOWN,89,0.6,0.6,3.0840,False,,,,3.0840,1.9160,1.9160
btc-updown-5m-1784346000,late_favorite_v5_paper_8h_20260718_085452.snapshots.jsonl,DOWN,DOWN,71,0.69,0.69,3.524865,False,,,,3.524865,1.475135,1.475135
btc-updown-5m-1784347500,maker_momentum_v2_paper_8h_20260718_105718.snapshots.jsonl,DOWN,DOWN,53,0.64,0.64,3.280640,False,,,,3.280640,1.719360,1.719360
btc-updown-5m-1784350200,maker_momentum_v2_paper_8h_20260718_105718.snapshots.jsonl,UP,UP,98,0.64,0.64,3.280640,False,,,,3.280640,1.719360,1.719360
btc-updown-5m-1784350500,maker_momentum_v2_paper_8h_20260718_105718.snapshots.jsonl,UP,UP,18,0.66,0.66,3.378540,False,,,,3.378540,1.621460,1.621460
btc-updown-5m-1784351100,maker_momentum_v2_paper_8h_20260718_105718.snapshots.jsonl,UP,DOWN,65,0.65,0.65,3.329625,False,,,,3.329625,-3.329625,-3.329625
btc-updown-5m-1784352300,maker_momentum_v2_paper_8h_20260718_105718.snapshots.jsonl,DOWN,UP,57,0.66,0.66,3.378540,True,35,0.77,0.77,6.731670000000000000000000000,-3.378540,-2.445955714285714285714285714
btc-updown-5m-1784352600,maker_momentum_v2_paper_8h_20260718_105718.snapshots.jsonl,UP,UP,99,0.7,0.70,3.573500,False,,,,3.573500,1.426500,1.426500
btc-updown-5m-1784353800,maker_momentum_v2_paper_8h_20260718_105718.snapshots.jsonl,DOWN,UP,100,0.7,0.70,3.573500,True,74,0.75,0.75,7.134750000000000000000000000,-3.573500,-2.468083333333333333333333333
btc-updown-5m-1784354400,maker_momentum_v2_paper_8h_20260718_105718.snapshots.jsonl,DOWN,DOWN,79,0.62,0.62,3.182460,True,37,0.9,0.9,6.304160000000000000000000000,1.817540,-1.304160000000000000000000000
btc-updown-5m-1784354700,maker_momentum_v2_paper_8h_20260718_105718.snapshots.jsonl,UP,UP,25,0.64,0.64,3.280640,False,,,,3.280640,1.719360,1.719360
btc-updown-5m-1784355600,maker_momentum_v2_paper_8h_20260718_105718.snapshots.jsonl,DOWN,DOWN,86,0.62,0.62,3.182460,False,,,,3.182460,1.817540,1.817540
btc-updown-5m-1784356500,maker_momentum_v2_paper_8h_20260718_105718.snapshots.jsonl,UP,UP,28,0.62,0.62,3.182460,False,,,,3.182460,1.817540,1.817540
btc-updown-5m-1784357400,maker_momentum_v2_paper_8h_20260718_105718.snapshots.jsonl,UP,UP,82,0.64,0.64,3.280640,False,,,,3.280640,1.719360,1.719360
btc-updown-5m-1784357700,maker_momentum_v2_paper_8h_20260718_105718.snapshots.jsonl,DOWN,DOWN,91,0.66,0.66,3.378540,False,,,,3.378540,1.621460,1.621460
btc-updown-5m-1784358300,maker_momentum_v2_paper_8h_20260718_105718.snapshots.jsonl,UP,UP,81,0.7,0.70,3.573500,False,,,,3.573500,1.426500,1.426500
